product_url,product_title,gender,sale_price,discount,mrp,color,product_code,no_of_reviews,star_rating,description,image
https://www.nike.com/in/t/air-jordan-1-mid-se-shoes-CQ6f9G/DV1308-104,Air Jordan 1 Mid SE,Men,12 295,0,12 295,White/Black/Ice Blue,DV1308-104,2,5.0,"Every time the AJ1 gets a remake, you get the classic sneaker in new colours and textures for an exciting, revamped look but with all the familiar comforts you know. Premium materials and accents give modern expression to an all-time favourite.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/19b9c4f4-8af9-47ba-9491-52be0849e48e/air-jordan-1-mid-se-shoes-CQ6f9G.png"
https://www.nike.com/in/t/dunk-low-retro-shoes-69h36X/DV0831-002,Nike Dunk Low Retro,Men,8 695,0,8 695,Black/Black/White/White,DV0831-002,1,1.0,"Created for the hardwood but taken to the streets, the basketball icon returns with classic details and throwback hoops flair. Channelling '80s vibes, its padded, low-cut collar lets you take your game anywhere—in comfort.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/59c3dbde-2e1e-4522-901f-c985bed4163e/dunk-low-retro-shoes-69h36X.png
https://www.nike.com/in/t/air-force-1-07-lv8-emb-shoes-rfzXL8/DV0787-100,Nike Air Force 1 '07 LV8 EMB,Men,10 795,0,10 795,Summit White/Blue Whisper/Football Grey/White,DV0787-100,0,0.0,"Quench your thirst for style with this salty take on the hoops original. Preserving everything you know best—'80s construction, bold details and nothin'-but-net style—its cracked leather, salt-washed colours and weathered accents maintain its status as the coveted off-court shoe.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/59c3dbde-2e1e-4522-901f-c985bed4163e/dunk-low-retro-shoes-69h36X.png
https://www.nike.com/in/t/air-force-1-07-lv8-shoes-Blj3sx/DV0789-100,Nike Air Force 1 '07 LV8,Men,10 795,0,10 795,White/Stadium Green/Pale Ivory/University Red,DV0789-100,1,5.0,"With an aged aesthetic and classic colours, the AF-1 gets a vintage makeover. Crisp leather with a checked pattern on the Swoosh and heel adds a festive feel for easy styling. Pair it with jeans, joggers or whatever else—the timeless look is the perfect match for any outfit.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/02e1a28f-6f5c-462e-af45-bd9ec18f3fb9/air-force-1-07-lv8-shoes-Blj3sx.png
https://www.nike.com/in/t/air-jordan-1-mid-se-craft-shoes-RmP7J6/DM9652-102,Air Jordan 1 Mid SE Craft,Men,12 295,0,12 295,Sail/Fossil Stone/Celestial Gold/Taupe Haze,DM9652-102,49,4.8,"Turn style on its head with this crafted take on the Air Jordan 1 Mid. Its ""inside out""-inspired construction, including unique layering and exposed foam accents, ups the ante on this timeless Jordan Brand silhouette. Details like the deco stitching on the Swoosh add coveted appeal, while the unexpected shading, rich mixture of materials and aged midsole aesthetic give this release an artisan finish.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b2cbaccf-ba4b-4618-b4d9-8653ade7871e/air-jordan-1-mid-se-craft-shoes-RmP7J6.png"
https://www.nike.com/in/t/air-more-uptempo-96-shoes-5m1N9s/DV0819-001,Nike Air More Uptempo '96,Men,15 995,0,15 995,Black/Multi-Colour/Cobalt Bliss/White,DV0819-001,0,0.0,"More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps it simple and easy to style in classic black and white, while pops of blue add a breath of fresh air. Speaking of air, the graffiti-style AIR graphic (an off-court fave) extends down the midsole for extra punch. Visible Nike Air cushioning finishes it off, giving you the edge in comfort.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b2cbaccf-ba4b-4618-b4d9-8653ade7871e/air-jordan-1-mid-se-craft-shoes-RmP7J6.png"
https://www.nike.com/in/t/air-jordan-13-retro-shoe-pvTjVke9/414571-062,Air Jordan 13 Retro,Unisex,19 295,0,19 295,Black/White/True Red,414571-062,141,4.6,"The Air Jordan 13 Retro brings back the memorable game shoe that Michael Jordan wore during the '97–98 season, all the way to his 6th championship title. All the classic details are there like the quilted overlay, iconic sculpted midsole and holographic eye.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5a55b7ab-7644-4de2-851f-7639b00ee98f/air-jordan-13-wheat-shoes-pvTjVke9.png"
https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-106,Nike Court Vision Low Next Nature,Men,4 995,0,4 995,White/Midnight Navy,DH2987-106,31,4.8,"In love with the classic look of '80s basketball but have a thing for the fast-paced culture of today's game? Meet the Nike Court Vision Low. A classic remixed with at least 20% recycled materials by weight, its crisp upper and stitched overlays keep the soul of the original style. The plush, low-cut collar keeps it sleek and comfortable for your world.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/917efccd-85c6-4f7c-9879-c4ace0adcff4/court-vision-low-next-nature-shoes-N2fFHb.png
https://www.nike.com/in/t/jordan-retro-6-g-golf-shoes-TQq6kw/DV1376-106,Jordan Retro 6 G,Men,19 695,0,19 695,White/Infrared 23/Black,DV1376-106,0,0.0,"Feel unbeatable from the tee box to the final putt in a design ithat's pure early MJ: speed, class and laden with true early '90s touches like visible Air and a translucent rubber sole that continue to stand the test of time. This model fuses the strut of 1st MJ's championship with some of our best golf technology, helping you make a statement of confidence when it comes time to tame the course.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cbd1a863-4011-47fc-bdd2-078605832cdf/jordan-retro-6-g-golf-shoes-TQq6kw.png"
https://www.nike.com/in/t/air-force-1-07-shoes-WrLlWX/CW2288-111,Nike Air Force 1 '07,Men,7 495,0,7 495,White/White,CW2288-111,1028,4.8,"The radiance lives on in the Nike Air Force 1 '07, the basketball original that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/b7d9211c-26e7-431a-ac24-b0540fb3c00f/air-force-1-07-shoes-WrLlWX.png
https://www.nike.com/in/t/sb-dunk-low-pro-skate-shoes-NWJncN/DV5429-600,Nike SB Dunk Low Pro Premium,Unisex,9 695,0,9 695,Adobe/Phantom/Gum Light Brown/Adobe,DV5429-600,0,0.0,"Pack your style—on your feet. Bringing a fresh twist to the iconic skate shoes, waxed canvas underlays and throwback branding nod to your favourite '90s backpack. Hidden details like the how-to guide on the sockliner remind you to go for it, while suede overlays and gum rubber sole let you transport yourself with A+ style.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/4fa4f722-9ded-4cf1-a4ed-f2c27d170b27/sb-dunk-low-pro-skate-shoes-NWJncN.png
https://www.nike.com/in/t/air-jordan-1-mid-shoes-SQf7DM/DQ8426-014,Air Jordan 1 Mid,Men,11 495,0,11 495,Cement Grey/True Blue/White,DQ8426-014,110,4.9,"Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colours and crisp leather give it a distinct identity.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0d265602-b5fa-46c1-8eb6-b3e56c7f52b9/air-jordan-1-mid-shoes-SQf7DM.png"
https://www.nike.com/in/t/air-zoom-flight-95-shoes-058DbL/DV0820-100,Nike Air Zoom Flight 95,Men,14 995,0,14 995,White/Black/Football Grey/Multi-Colour,DV0820-100,0,0.0,"Have you ever had déjà shoe? Flash back to one of the first shoes to popularise Zoom Air technology and relive the hoops revolution. With its flowing lines, patent leather accents and futuristic 'bug eye' detailing, the Air Zoom Flight 95 is no dream—it's your ticket to turn heads.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0d265602-b5fa-46c1-8eb6-b3e56c7f52b9/air-jordan-1-mid-shoes-SQf7DM.png"
https://www.nike.com/in/t/jordan-adg-4-golf-shoes-VrRj2T/DM0103-057,Jordan ADG 4,Men,17 295,0,17 295,Football Grey/Alabaster/White/University Blue,DM0103-057,27,4.2,"A request from MJ himself, the Jordan ADG 4 infuses an incredibly classic silhouette with retro Jordan flavour. Supple, full-grain leather shows off the iconic elephant print on the heel. The rubber sole has an integrated traction pattern that perfectly pairs the grip you need with the versatility and comfort you want.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/25221a87-fb7e-496b-b44b-cf3425027cb6/jordan-adg-4-golf-shoes-VrRj2T.png"
https://www.nike.com/in/t/dunk-high-retro-shoes-xDdFSl/DV0822-100,Nike Dunk High Retro Premium,Men,11 495,0,11 495,Summit White/Phantom/Pink Oxford/White,DV0822-100,1,5.0,"Quench your thirst for style with this salty take on the hoops original. Preserving everything you know best—era-echoing construction, ultra-padded design and nothin'but-net style—its cracked leather, salt-washed colours and weathered accents maintain its status as the coveted off-court shoe.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/25221a87-fb7e-496b-b44b-cf3425027cb6/jordan-adg-4-golf-shoes-VrRj2T.png"
https://www.nike.com/in/t/blazer-low-77-jumbo-shoes-RGNB3j/DN2158-101,Nike Blazer Low '77 Jumbo,Men,8 595,0,8 595,White/White/Sail/Black,DN2158-101,55,4.3,"They say, ""Don't fix what works"". We say, ""Perfect it"". The classic, streetwear superstar gets rethought with the Nike Blazer Low '77 Jumbo. Harnessing the old-school look you love, it now features an oversized Swoosh design and jumbo laces. Its plush foam tongue and thicker stitching embolden the iconic look that's been praised by the streets since '77.","https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/25221a87-fb7e-496b-b44b-cf3425027cb6/jordan-adg-4-golf-shoes-VrRj2T.png"
https://www.nike.com/in/u/custom-nike-air-force-1-low-by-you-10001371/5654759681,Nike Air Force 1 Low By You,Men,10 795,0,10 795,Multi-Colour/Multi-Colour/Multi-Colour/Multi-Colour,DZ3637-900,0,0.0,"Shine in satin, stay classic in canvas or get luxe with leather. No matter what you choose, these AF-1s are all about you. 12 colour choices and an additional gum rubber option for the sole mean your design is destined to be one of a kind—just like you.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/2eff461f-f3ac-4285-9c6a-2f22173aac42/custom-nike-air-force-1-low-by-you.png
https://www.nike.com/in/t/dunk-high-retro-shoes-PJtKZZ/DQ7679-001,Nike Dunk High Retro Premium,Men,11 295,0,11 295,Phantom/Sail/Phantom/Limestone,DQ7679-001,0,0.0,"Perfect the season in the Dunk High Retro. Created for the hardwood but taken to the streets, the '80s basketball icon returns with richly textured pigskin nubuck overlays, a soft lining around the collar and an easy-to-style neutral palette. A classic woven tongue label is paired with colour-matched laces and outsole to complete the look. And of course, the padded, high-top collar lets you make your statement—in comfort.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/2eff461f-f3ac-4285-9c6a-2f22173aac42/custom-nike-air-force-1-low-by-you.png
https://www.nike.com/in/t/air-force-1-07-shoes-VWCc04/DV0788-100,Nike Air Force 1 '07,Men,9 695,0,9 695,White/White/Wolf Grey,DV0788-100,5,4.2,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: '80s-inspired construction, bold details and nothin'-but-net style.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/3f3e7049-5c99-428c-abcd-e246b086f2ed/air-force-1-07-shoes-VWCc04.png
https://www.nike.com/in/t/air-force-1-07-shoe-NMmm1B/DD8959-100,Nike Air Force 1 '07,Women,8 195,0,8 195,White/White/White/White,DD8959-100,745,4.7,"The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colours and the perfect amount of flash to make you shine.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/f094af40-f82f-4fb9-a246-e031bf6fc411/air-force-1-07-shoe-NMmm1B.png
https://www.nike.com/in/t/air-force-1-07-se-shoes-VDZZX8/DV7584-100,Nike Air Force 1 '07 SE,Women,9 695,0,9 695,White/Team Red/Metallic Gold Star/White,DV7584-100,0,0.0,"You're not just in the game, you're leading it. Celebrating women b-ball players with that off-court lifestyle embedded into everyday life, the AF-1 returns with nothin'-but-net style. Textured leather breaks in beautifully and adds a premium touch. And let's not forget the removable medallion. It can be tucked into the pocket on the Swoosh, worn as a pendant or added to a key ring—the options are endless.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/f094af40-f82f-4fb9-a246-e031bf6fc411/air-force-1-07-shoe-NMmm1B.png
